Q.No,Question,OPT A,OPT B,OPT C,OPT D,CA,Domain,Class
1,"One year ago Jaya was four times as old as her daughter Nikitha. Six years hence, Mrs.Jaya's age will exceed her daughter's age by 9 years. The ratio of the present ages of Jaya and her daughter is :",9:02,11:03,12:05,13:04,13:04,Aptitude,Easy
2,"Five years ago, the total of the ages of a father and his son was 40 years. The ratio of their present ages is�4 : 1. What is the present age of the father ?",30,25,20,None,None,Aptitude,Easy
3,A father is twice as old as his son. 20 years ago the age of the father was 12 times the age of the son. The present age of the father is :,44,32,22,45,44,Aptitude,Easy
4,Ajay got married 9 years ago . Today his age is 1 3 time of his age atthe time of his marriage . Find his present age.,30,28,36,29,36,Aptitude,Easy
5,"The sum ages of kartik and his father is 78 years . 6 years hence ,father�s age will be twice of kartik�s age . Find present age of father.",60,58,46,54,60,Aptitude,Easy
6,"Two pipes P and Q can fill a cistern in 37 minutes and 45 minutes respectively. Both pipes are opened. The cistern will be filled in just half an hour, if the Q is turned off after:",9,8,6,5,9,Aptitude,Easy
7,"Pipes P and Q can fill a tank in 5 and 6 hours respectively. Pipe R can empty it in 12 hours. If all the three pipes are opened together, then the tank will be filled in:",4  5/13,3  5/13,1  9/17,3  9/17,1  9/17,Aptitude,Easy
8,A tank is filled by three pipes with uniform flow. The first two pipes operating simultaneously fill the tank in the same time during which the tank is filled by the third pipe alone. The second pipe fills the tank 5 hours faster than the first pipe and 4 hours slower than the third pipe. The time required by the first pipe is:,11,15,4,18,4,Aptitude,Easy
9,"Three pipes P, Q and R can fill a tank from empty to full in 30 minutes, 20 minutes, and 10 minutes respectively. When the tank is empty, all the three pipes are opened. P, Q and R discharge chemical solutions M,L and N respectively. What is the proportion of the solution N in the liquid in the tank after 3 minutes?",13-Feb,5-Mar,11-Jun,15-Jul,11-Jun,Aptitude,Easy
10,"A person earns 15% on investment but loses 10% on another investment. If the ratio of the two investments be 3:5, what is the gain or loss on the two investments taken together in terms of percentage?",0.65%,0.55%,0.63%,0.35%,0.55%,Aptitude,Easy
11,"A person, by selling an article at three-fourths of the list price incurs a loss of 20%. Find the profit percentage if he sells at the list price?",7.65%,6.66%,5.45%,6.87%,6.66%,Aptitude,Easy
12,"An uneducated retailer marks all his goods at 50% above the cost price and thinking that he will still make 25% profit, offers a discount of 25% on the marked price. What is his actual profit on the sales?",12%,14%,10.45%,12.50%,12.50%,Aptitude,Easy
13,30% loss on cost price in what percent loss on selling price?,42.85%,40%,50.45%,52.50%,42.85%,Aptitude,Easy
14,"Let M be the greatest number that will divide 1305, 4665 and 6905, leaving the same remainder in each case. Then sum of the digits in M is:",4,2,7,1,4,Aptitude,Easy
15,"The product of two numbers is 4107. If the H.C.F. of these numbers is 37, then the greater number is:",78,56,109,111,111,Aptitude,Easy
16,Find the remainder when 231 is divided by 5.,3,1,4,2,3,Aptitude,Easy
17,"The LCM of two number is 4800 and their HCF is 160. If one number is 480, then the second number is",1300,1400,1600,1800,1600,Aptitude,Easy
18,"If each of the three non zero numbers L , M , and N is divisible by 3, then LMN must be divisible by which one of the following the numbers?",81,27,36,121,36,Aptitude,Easy
19,"P and Q are playing mathematical puzzles. P asks Q ""which whole numbers, greater than one, can divide all the nine three digit numbers 111,222,333,444,555,666, 777,888 and 999?"" Q immediately gave the desired answer. It was","3,9,37","3,37,119","8,37,111","3,37,111","3,37,111",Aptitude,Easy
20,A Student wrote all the numbers from 100 to 200. Then he started counting the number of one's that has been used while writing all these numbers. What is the number that he got?,129,118,123,120,120,Aptitude,Easy
21,". There are 5 freshmen, 8 sophomores, and 7 juniors in a chess club. A group of 6 students will be chosen to compete in a competition. How many combinations of students are possible if the group is to consist of exactly 3 freshmen?",3500,5200,4550,8000,5200,Aptitude,Easy
22,"There are 5 freshmen, 8 sophomores, and 7 juniors in a chess club. A group of 6 students will be chosen to compete in a competition. How many combinations of students are possible if the group is to consist of an equal number of freshmen, sophomores, and juniors?",3550,5880,4550,6000,5880,Aptitude,Easy
23,"How many ways can 4 prizes be given away to 3 boys, if each boy is eligible for all the prizes?",24,13,225,36,24,Aptitude,Easy
24,"Ten different letters of alphabet are given, words with 5 letters are formed from these given letters. Then, the number of words which have at least one letter repeated is:",89750,69760,99560,75000,69760,Aptitude,Easy
25,How many words can be formed by re-arranging the letters of the word ASCENT such that A and T occupy the first and last position respectively?,7!,5!,2!,4!,4!,Aptitude,Easy
26,. In what ratio must coffee at Rs 9.30 per Kg be mixed with coffee at Rs 10.80 per Kg so that the mixture be worth Rs 10 per Kg?,6:05,6:01,8:07,3:07,6:01,Aptitude,Easy
27,In what ratio must coffee at Rs.3.20 per kg be mixed with coffee at Rs.2.90 per kg so that the mixture be worth Rs.3.08 per kg?,3:04,4:03,2:03,3:02,3:02,Aptitude,Easy
